name,lat,lng,address,homepage
춘천아이쿱생협,37.8516127,127.7448879,강원도 춘천시 석사동 퇴계농공로 19,
동선 나눔점방,37.5941019,127.0204091,서울특별시 성북구 동선동3가 130-7,http://www.sb.go.kr/dongoffice/PageLink.do?link=forward:/PageContent.do&tempParam1=&menuNo=02000000&subMenuNo=02220000&thirdMenuNo=02220300&fourthMenuNo=02220301
라마홈,37.58042225,126.9715029,서울특별시 종로구 창성동 149번지 1층 101호,
모두의부엌,36.15436241,128.3069575,경상북도 구미시 봉곡동 봉곡서로 42,https://www.instagram.com/modoo_kitchen/
지구별가게,33.49300672,126.4750845,제주특별자치도 제주시 노형동 월랑북2길 16,https://www.instagram.com/jigubyul_store/
마이아일랜드,33.25865913,126.528303,제주특별자치도 서귀포시 호근동 호근로112번길 24,https://myisland.co.kr/
마리앤하우스,35.18487803,128.5601998,창원시 마산합포구 문화동버스정거장(경남대방향) 버스 정거장 앞,https://www.instagram.com/mari_n_house/
대안생활 공기,37.55173441,127.1270938,서울특별시 강동구 암사동 상암로3길 24 104호,https://www.instagram.com/gonggi_2020/
워시존 파주운정점,37.74581929,126.723142,경기도 파주시 오도동 오도로 54,
waste upso,37.49041072,126.9916709,서울특별시 서초구 방배4동 방배로 189,https://ko.wasteupso.com/
무포장 가게 쓸,37.60690667,126.9326829,서울특별시 은평구 녹번동 통일로61길 4 1층,https://www.instagram.com/magazine.ssssl/
제주 한살림 달음센터,33.4827444,126.4639049,제주 제주시 노형동 3058-1,http://jejudameul.co.kr/
협동조합 농부장터,35.92044481,128.5510754,대구광역시 북구 태전2동 595-2,http://f-market.kr/
제로스테이,35.81954247,128.5222911,대구광역시 달서구 월성1동 진천로 114-17,https://www.instagram.com/zerostay_/
없는가게쓸,37.60872987,126.933849,서울특별시 은평구 녹번동 산1-55,https://www.innovationpark.kr/
동네 마당,36.63237247,127.4228576,충청북도 청주시 흥덕구 비하동 비하로57번길 38-8,https://www.instagram.com/madang_zero/
솝리필스테이션,37.4801847,127.1437153,?경기 성남시 수정구 위례광장로 21 105호,https://www.soaprefillstation.co.kr/
지구수호대리필상점,37.53116797,126.6557455,인천 서구 청라 지젤임 지하1층 B동 87,https://zeroshop.modoo.at/
소중한모든것,37.4440687,126.7035064,인천 남동구 인하로 617 플러스타워 108호,https://smartstore.naver.com/todosobre
지구에티켓,37.18431731,127.0434992,경기도 오산시 세마역로 19번길 52? 52 인도방향 101?,https://www.instagram.com/earth_etiquette/
선선한주방,35.03291062,126.7147427,전라남도 나주시 금남동 금남길 50,https://smartstore.naver.com/sunsunjubang
지구맑음,35.54067534,129.3385308,울산광역시 남구 삼산동 삼산중로74번길 30,
가치상점,37.25674619,127.0198744,경기도 수원시 권선구 세류3동 세권로 140,https://www.instagram.com/gacistore/
사직동그가게,37.57717613,126.9678136,서울 종로구 사직로9길 18,https://www.instagram.com/rogpashop/
브릿지엣지,37.50243437,126.9543137,서울특별시 상도 번지 상가동 430 SH빌 311호 KR 서울특별시 동작구 상도동,
곁애,37.51261778,126.9242075,서울특별시 영등포구 신길7동 영등포로 420-6,https://www.instagram.com/cafe.gyute/
자양분,36.33632653,127.4468462,대전광역시 동구 자양동 동대전로 159,http://naver.me/5G4jkHGk
서스테인어블 해빗,37.5549149,126.9767446,서울특별시 용산구 후암동 소월로2길 5,https://www.instagram.com/sustainable_habits_/
레트로카페33,37.27378303,127.0723797,경기도 용인시 기흥구 영덕동 흥덕2로65번길 16-8,http://naver.me/F1RSyvGD
본조르노베이커리,33.49129422,126.4765514,제주 제주시 다랑곶4길 68 1층 본조르노베이커리,https://www.instagram.com/buon.giorno.bakery/
페이퍼넛츠,37.58141144,126.9081594,서울특별시 서대문구 북가좌동 거북골로24길 37-8,http://www.papernuts.kr/
앞으로의빵집,37.57481244,126.9893452,서울특별시 종로구 익선동 삼일대로32가길 29-1,https://www.instagram.com/apbbang/
포포브레드,37.57013426,126.9312057,서울특별시 서대문구 연희동 92-18,https://www.instagram.com/forfourbread/
기웃기웃,37.5548646,126.9336263,서울특별시 마포구 서교동 신촌로12다길 20,https://www.instagram.com/giut_giut/
두더지손가게,37.53344457,126.9051399,서울특별시 영등포구 당산동6가 당산로52길 31-1,https://www.instagram.com/molehand/
베이커리 빵과장미,35.13521339,126.7941937,광주광역시 광산구 도산동 932-2번지 1층,https://www.instagram.com/bakery_breadnrose/
카페오두막,37.38280428,126.9577196,경기도 안양시 동안구 신촌동 평촌대로127번길 40 KR,https://www.instagram.com/cafe_odumak/
쿠아레비 구산점,37.60609157,126.9223482,"1 층, 17-15 역촌동 은평구 서울특별시",https://www.instagram.com/quoirez.b_gusan/
카페 드랜스,37.60690667,126.9326185,서울특별시 은평구 녹번동 통일로61길 4 1층,https://www.instagram.com/trans_614/
포레스테이너블 베이커리,34.95407243,127.6947281,전라남도 광양시 중마동 자작길 39,https://smartstore.naver.com/vegan_dalyang
